S3,34.9,121.2
S2,28.1,118.7
S3,37.3,121.7
S1,20.8,120.9
S3,16.3,118.5
S2,16.8,120.0
S2,29.6,118.4
S3,35.3,119.2
S1,39.0,118.0
S1,27.0,119.5
S3,27.5,120.0
S3,21.0,121.0
S3,27.3,121.5
S2,29.3,120.7
S1,29.3,120.9
S1,15.4,121.4
S2,21.9,118.8
S2,24.2,118.4
S3,38.1,121.4
S1,19.1,121.0
S3,33.0,120.4
S2,25.3,121.3
S2,33.7,120.8
S2,20.3,120.7
S1,26.2,119.3
S1,35.7,119.9
S1,33.6,119.7
S3,26.2,121.8
S1,23.7,121.5
S3,29.7,121.6
S1,19.8,118.9
S3,35.0,119.6
S3,15.4,118.1
S2,25.6,119.9
S2,27.1,119.6
S3,25.0,121.5
S1,28.3,119.0
S2,21.2,118.8
S1,30.8,118.8
S3,18.4,118.5
S1,39.3,119.9
S1,19.1,121.0
S3,20.1,121.7
S1,18.8,118.6
S3,27.8,119.5
S1,35.0,120.6
S3,38.0,120.6
S3,36.8,121.0
S2,24.0,120.2
S2,17.4,118.6
S3,34.6,119.3
S2,23.6,121.0
S3,39.1,120.8
S1,16.9,118.9
S1,16.8,119.0
S1,15.0,119.0
S2,31.1,118.2
S3,22.6,120.0
S2,26.0,119.9
S2,23.3,119.9
S2,28.7,119.4
S2,24.2,118.1
S1,17.5,121.6
S3,22.0,121.0
S3,17.1,120.7
S1,17.4,121.3
S1,34.2,120.1
S2,20.5,120.7
S1,27.1,119.5
S1,34.6,121.0
S1,38.9,120.1
S1,28.5,118.4
S3,26.8,118.9
S1,15.3,121.1
S3,32.8,121.2
S2,21.0,118.4
S3,19.9,118.8
S3,16.8,119.3
S3,34.7,121.6
S3,16.2,120.9
S1,22.3,118.2
S3,26.5,121.5
S3,19.9,120.8
S2,15.8,121.0
S2,35.0,119.8
S1,39.0,118.3
S2,31.9,118.9
S3,29.6,118.5
S1,25.3,120.1
S1,22.0,119.8
S1,23.6,118.4
S2,22.8,121.5
S2,20.9,121.9
S1,35.2,119.7
S1,28.4,121.3
S1,21.8,119.0
S3,16.9,118.0
S2,18.6,118.3
S3,28.7,118.8
S1,16.1,119.4
